xflr5 v6.48

Plane name :        Cy1
Polar name :        T1-143.0 m/s-LLT
Freestream speed : 143.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    5.600     0.000   0.809292   0.015380   0.017603   0.032983   0.000000  -0.000000  -0.420243   0.000000  -0.000000  143.0000     0.0773
    5.700     0.000   0.818662   0.015741   0.017683   0.033424   0.000000  -0.000000  -0.423951   0.000000  -0.000000  143.0000     0.0771
    5.800     0.000   0.828046   0.016107   0.017763   0.033869   0.000000  -0.000000  -0.427665   0.000000  -0.000000  143.0000     0.0768
    5.900     0.000   0.837222   0.016473   0.017844   0.034317   0.000000  -0.000000  -0.431250   0.000000   0.000000  143.0000     0.0766
    6.000     0.000   0.846129   0.016838   0.017926   0.034764   0.000000  -0.000000  -0.434669   0.000000  -0.000000  143.0000     0.0764
    6.100     0.000   0.854845   0.017201   0.018010   0.035211   0.000000  -0.000000  -0.437973   0.000000  -0.000000  143.0000     0.0762
    6.200     0.000   0.863530   0.017566   0.018095   0.035660   0.000000  -0.000000  -0.441255   0.000000   0.000000  143.0000     0.0760
    6.300     0.000   0.872194   0.017932   0.018179   0.036112   0.000000  -0.000000  -0.444522   0.000000  -0.000000  143.0000     0.0758
    6.400     0.000   0.880776   0.018299   0.018265   0.036564   0.000000  -0.000000  -0.447739   0.000000   0.000000  143.0000     0.0755
    6.500     0.000   0.889109   0.018663   0.018356   0.037019   0.000000  -0.000000  -0.450794   0.000000  -0.000000  143.0000     0.0753
    6.600     0.000   0.897348   0.019026   0.018448   0.037474   0.000000  -0.000000  -0.453786   0.000000   0.000000  143.0000     0.0751
    6.700     0.000   0.905523   0.019389   0.018543   0.037932   0.000000  -0.000000  -0.456731   0.000000  -0.000000  143.0000     0.0749
    6.800     0.000   0.913550   0.019775   0.018635   0.038410   0.000000  -0.000000  -0.459621  -0.000000  -0.000000  143.0000     0.0747
    6.900     0.000   0.921771   0.020137   0.018730   0.038867   0.000000  -0.000000  -0.462579   0.000000   0.000000  143.0000     0.0745
    7.000     0.000   0.929622   0.020495   0.018839   0.039334   0.000000  -0.000000  -0.465316   0.000000   0.000000  143.0000     0.0743
    7.100     0.000   0.937021   0.020868   0.018956   0.039824   0.000000  -0.000000  -0.467814   0.000000  -0.000000  143.0000     0.0741
    7.200     0.000   0.944334   0.021210   0.019087   0.040297   0.000000  -0.000000  -0.470219  -0.000000  -0.000000  143.0000     0.0739
    7.300     0.000   0.951558   0.021552   0.019221   0.040773   0.000000  -0.000000  -0.472572  -0.000000  -0.000000  143.0000     0.0737
    7.400     0.000   0.958613   0.021912   0.019353   0.041266   0.000000  -0.000000  -0.474852   0.000000   0.000000  143.0000     0.0735
    7.500     0.000   0.965628   0.022245   0.019505   0.041750   0.000000  -0.000000  -0.477078   0.000000   0.000000  143.0000     0.0733
    7.600     0.000   0.971978   0.022586   0.019702   0.042288   0.000000  -0.000000  -0.478970   0.000000   0.000000  143.0000     0.0731
    7.700     0.000   0.978220   0.022897   0.019922   0.042819   0.000000  -0.000000  -0.480775   0.000000   0.000000  143.0000     0.0729
    7.800     0.000   0.984125   0.023220   0.020161   0.043381   0.000000  -0.000000  -0.482419   0.000000   0.000000  143.0000     0.0727
    7.900     0.000   0.990164   0.023522   0.020404   0.043926   0.000000  -0.000000  -0.484108   0.000000   0.000000  143.0000     0.0724
    8.000     0.000   0.996017   0.023840   0.020653   0.044494   0.000000  -0.000000  -0.485720   0.000000   0.000000  143.0000     0.0722
    8.100     0.000   1.001400   0.024143   0.020961   0.045104   0.000000  -0.000000  -0.487086   0.000000  -0.000000  143.0000     0.0720
    8.200     0.000   1.006596   0.024435   0.021294   0.045729   0.000000  -0.000000  -0.488355   0.000000  -0.000000  143.0000     0.0718
    8.300     0.000   1.011457   0.024714   0.021667   0.046381   0.000000  -0.000000  -0.489449   0.000000  -0.000000  143.0000     0.0716
    8.400     0.000   1.016301   0.024988   0.022046   0.047034   0.000000  -0.000000  -0.490529   0.000000   0.000000  143.0000     0.0714
    8.500     0.000   1.021176   0.025261   0.022428   0.047689   0.000000  -0.000000  -0.491626  -0.000000  -0.000000  143.0000     0.0712
    8.600     0.000   1.026240   0.025537   0.022839   0.048376   0.000000  -0.000000  -0.492853   0.000000  -0.000000  143.0000     0.0710
    8.700     0.000   1.031297   0.025812   0.023269   0.049080   0.000000  -0.000000  -0.494091   0.000000  -0.000000  143.0000     0.0709
    8.800     0.000   1.036333   0.026084   0.023735   0.049819   0.000000   0.000000  -0.495338   0.000000   0.000000  143.0000     0.0707
